#,date,time,lat,lon
0,22/12/15,06:42:19,54.644448,25.198531
1,22/12/15,06:43:25,54.644448,25.198504
2,22/12/15,06:44:31,54.643887,25.198554
3,22/12/15,06:45:37,54.643794,25.20567
4,22/12/15,06:46:43,54.648022,25.213318
5,22/12/15,06:47:49,54.653186,25.222699
6,22/12/15,06:48:55,54.657151,25.229651
7,22/12/15,06:50:01,54.65869,25.2324
8,22/12/15,06:51:07,54.66277,25.235394
9,22/12/15,06:52:13,54.671106,25.238199
10,22/12/15,06:53:19,54.672071,25.238937
11,22/12/15,06:54:25,54.673991,25.241651
12,22/12/15,06:55:31,54.676153,25.245362
13,22/12/15,06:56:37,54.67985,25.2477
14,22/12/15,06:57:43,54.684206,25.257557
15,22/12/15,06:58:56,54.693227,25.264029
16,22/12/15,07:00:02,54.697491,25.2642
17,22/12/15,07:01:08,54.697663,25.264218
18,22/12/15,07:02:14,54.698735,25.261426
19,22/12/15,07:03:20,54.701737,25.261273
20,22/12/15,16:42:31,54.699861,25.259862
21,22/12/15,16:43:37,54.699098,25.259002
22,22/12/15,16:44:43,54.69646,25.256246
23,22/12/15,16:45:49,54.692236,25.256186
24,22/12/15,16:46:55,54.689753,25.256446
25,22/12/15,16:48:01,54.688222,25.263029
26,22/12/15,16:49:07,54.688072,25.263829
27,22/12/15,16:50:13,54.68825,25.265181
28,22/12/15,16:51:19,54.688228,25.26533
29,22/12/15,16:52:25,54.688185,25.265492
30,22/12/15,16:53:31,54.68955,25.265335
31,22/12/15,16:54:37,54.690369,25.260418
32,22/12/15,16:55:43,54.689945,25.259779
33,22/12/15,16:56:49,54.684306,25.256657
34,22/12/15,16:57:55,54.678529,25.246808
35,22/12/15,16:59:01,54.673025,25.23991
36,22/12/15,17:00:07,54.663515,25.235721
37,22/12/15,17:01:13,54.659409,25.233104
38,22/12/15,17:02:19,54.654563,25.224701
39,22/12/15,17:03:25,54.65247,25.220985
40,22/12/15,17:04:31,54.645635,25.208711
41,22/12/15,17:05:37,54.644486,25.198537
42,22/12/15,17:06:43,54.644773,25.19843
43,22/12/15,17:07:49,54.645596,25.199372
